TimeStamp,ElapsedTime,DisdroIntensity(mm/h),DisdroBinAccum(mm),DisdroTotalAccum(mm),DisdroNParticles,FilteredNParticles,ParticleSizeMedian(mm),ParticleSizeMode(mm),ParticleVelocityMedian(m/s),ParticleVelocityMode(m/s),DisdroTemp,DisdroKE(J/(m^2/h)),KE_Sphere(J),KE_Atlas(J),KE_Beard(J),KE_Sphere(J/m2),KE_Atlas(J/m2),KE_Beard(J/m2),KE_Sphere(J/m2/h),KE_Atlas(J/m2/h),KE_Beard(J/m2/h),KE_Sphere(J/m2/mm),KE_Atlas(J/m2/mm),KE_Beard(J/m2/mm),AvgWindSpeed(m/s),WindDir(Deg),WindDirStdDev(Deg),RadarReflectivity(dBz)
2016-12-16 01:13:00,1,0.784000,0.010000,0.010000,94.000000,94.000000,0.812000,0.812000,3,3.800000,10.000000,8.240000,0.000668,0.001039,0.001043,0.137451,0.213831,0.214693,8.247060,12.829843,12.881567,13.745100,21.383072,21.469278,2.478000,236.500000,0.014000,26.164000
2016-12-16 01:14:00,2,0.674000,0.010000,0.020000,105.000000,105.000000,0.812000,0.812000,3,3.000000,10.000000,5.530000,0.000448,0.000683,0.000671,0.092175,0.140611,0.138159,5.530511,8.436636,8.289547,9.217518,14.061060,13.815911,2.105000,222.900000,0.000000,23.099000
2016-12-16 01:15:00,3,0.963000,0.020000,0.040000,111.000000,111.000000,0.937000,0.937000,3,3.000000,10.000000,9.030000,0.000731,0.001137,0.001128,0.150510,0.234046,0.232171,9.030599,14.042746,13.930280,7.525499,11.702288,11.608567,2.532000,241.500000,0.000000,25.841000
2016-12-16 01:16:00,4,0.718000,0.010000,0.050000,106.000000,106.000000,0.937000,1.062000,3,3.400000,10.000000,6.230000,0.000505,0.000737,0.000726,0.103940,0.151726,0.149331,6.236416,9.103578,8.959864,10.394026,15.172630,14.933106,2.079000,221.500000,0.000000,23.433000
2016-12-16 01:17:00,5,0.780000,0.010000,0.060000,114.000000,114.000000,0.812000,0.812000,2.600000e+00,2.600000,10.000000,6.190000,0.000502,0.000861,0.000854,0.103194,0.177178,0.175748,6.191618,10.630670,10.544859,10.319363,17.717784,17.574766,3.131000,225.200000,0.000000,24.831000
2016-12-16 01:18:00,6,0.846000,0.020000,0.080000,121.000000,121.000000,0.937000,0.937000,3,3.000000,10.000000,7.250000,0.000587,0.000933,0.000924,0.120788,0.192013,0.190102,7.247251,11.520793,11.406138,6.039376,9.600661,9.505115,2.878000,239.300000,0.000000,24.998000
2016-12-16 01:19:00,7,0.758000,0.010000,0.090000,88.000000,88.000000,0.874500,0.687000,2.800000e+00,2.200000,10.000000,8.110000,0.000657,0.001040,0.001049,0.135215,0.214092,0.215877,8.112890,12.845494,12.952614,13.521483,21.409157,21.587690,3.464000,237.500000,0.000000,26.769000
2016-12-16 01:20:00,8,0.790000,0.010000,0.100000,109.000000,109.000000,0.812000,0.812000,2.600000e+00,3.400000,10.000000,8.510000,0.000690,0.000981,0.000980,0.141935,0.201802,0.201683,8.516103,12.108094,12.100964,14.193506,20.180157,20.168274,3.277000,248.600000,0.000000,25.399000
2016-12-16 01:21:00,9,1.156000,0.020000,0.120000,123.000000,123.000000,0.812000,0.687000,3,2.600000,10.000000,16.490000,0.001336,0.001785,0.001815,0.274865,0.367358,0.373485,16.491896,22.041477,22.409089,13.743247,18.367898,18.674241,2.545000,252.700000,0.000000,28.935000
2016-12-16 01:22:00,10,0.976000,0.020000,0.140000,117.000000,117.000000,0.812000,0.812000,3.400000e+00,4.400000,10.000000,12.800000,0.001037,0.001257,0.001258,0.213299,0.258618,0.258820,12.797942,15.517068,15.529213,10.664951,12.930890,12.941011,2.172000,221.300000,0.000000,26.205000
